date,start_station_code,total_count,member_count,non_member_count
2017-05-31,5002,59,32,27
2017-05-31,5003,47,40,7
2017-05-31,5004,55,36,19
2017-05-31,5005,43,36,7
2017-05-31,5006,101,68,33
2017-05-31,5007,306,248,58
2017-05-31,6001,896,566,330
2017-05-31,6002,567,476,91
2017-05-31,6003,765,574,191
2017-05-31,6004,634,433,201
2017-05-31,6005,889,709,180
2017-05-31,6006,427,387,40
2017-05-31,6007,1228,890,338
2017-05-31,6008,1167,870,297
2017-05-31,6009,2472,1654,818
2017-05-31,6011,1290,1083,207
2017-05-31,6012,3833,2873,960
2017-05-31,6013,1052,820,232
2017-05-31,6014,2149,1515,634
2017-05-31,6015,4140,3181,959
2017-05-31,6016,158,121,37
2017-05-31,6017,746,644,102
2017-05-31,6018,1411,1217,194
2017-05-31,6019,2084,1747,337
2017-05-31,6020,1762,1364,398
2017-05-31,6021,1934,1644,290
2017-05-31,6022,1105,990,115
2017-05-31,6023,2809,1436,1373
2017-05-31,6024,604,563,41
2017-05-31,6025,984,594,390
2017-05-31,6026,3645,1365,2280
2017-05-31,6027,2377,1992,385
2017-05-31,6029,553,489,64
2017-05-31,6031,1041,692,349
2017-05-31,6032,1616,1058,558
2017-05-31,6033,461,396,65
2017-05-31,6034,2447,1864,583
2017-05-31,6035,817,568,249
2017-05-31,6036,3156,1328,1828
2017-05-31,6037,1143,715,428
2017-05-31,6038,1286,1014,272
2017-05-31,6039,1825,1427,398
2017-05-31,6040,1271,920,351
2017-05-31,6041,2054,1752,302
2017-05-31,6042,1901,1731,170
2017-05-31,6043,1960,1721,239
2017-05-31,6044,2371,2096,275
2017-05-31,6046,2067,1776,291
2017-05-31,6047,1219,1033,186
2017-05-31,6048,1111,983,128
2017-05-31,6049,1620,1473,147
2017-05-31,6050,3076,1478,1598
2017-05-31,6051,298,278,20
2017-05-31,6052,3154,2052,1102
2017-05-31,6053,740,705,35
2017-05-31,6057,1938,1690,248
2017-05-31,6058,865,725,140
2017-05-31,6059,1398,1105,293
2017-05-31,6060,1231,1082,149
2017-05-31,6061,2166,1831,335
2017-05-31,6062,1282,929,353
2017-05-31,6063,2356,1889,467
2017-05-31,6064,4840,3948,892
2017-05-31,6065,2071,1562,509
2017-05-31,6066,1039,885,154
2017-05-31,6067,2893,2455,438
2017-05-31,6068,254,179,75
2017-05-31,6070,4141,3504,637
2017-05-31,6072,1842,1559,283
2017-05-31,6073,2485,2125,360
2017-05-31,6075,1007,773,234
2017-05-31,6076,267,229,38
2017-05-31,6078,5427,4434,993
2017-05-31,6079,1648,1287,361
2017-05-31,6081,1772,1417,355
2017-05-31,6082,402,370,32
2017-05-31,6083,2264,1889,375
2017-05-31,6084,860,734,126
2017-05-31,6085,1979,1615,364
2017-05-31,6086,150,98,52
2017-05-31,6087,1712,1465,247
2017-05-31,6088,1171,1005,166
2017-05-31,6090,953,839,114
2017-05-31,6091,691,525,166
2017-05-31,6092,1436,1153,283
2017-05-31,6093,989,829,160
2017-05-31,6094,1043,956,87
2017-05-31,6095,2661,2251,410
2017-05-31,6096,694,587,107
2017-05-31,6097,1987,1711,276
2017-05-31,6098,1778,1317,461
2017-05-31,6100,7162,5851,1311
2017-05-31,6101,925,837,88
2017-05-31,6102,757,628,129
2017-05-31,6103,493,439,54
2017-05-31,6104,2508,2114,394
2017-05-31,6105,859,783,76
2017-05-31,6107,2454,1800,654
2017-05-31,6108,894,793,101
2017-05-31,6109,358,123,235
2017-05-31,6110,528,451,77
2017-05-31,6111,669,597,72
2017-05-31,6112,2056,1783,273
2017-05-31,6113,1550,1342,208
2017-05-31,6114,3400,2729,671
2017-05-31,6115,493,424,69
2017-05-31,6116,1315,1144,171
2017-05-31,6117,903,780,123
2017-05-31,6118,1367,1224,143
2017-05-31,6119,1754,1499,255
2017-05-31,6120,1297,1126,171
2017-05-31,6121,555,463,92
2017-05-31,6122,326,277,49
2017-05-31,6123,710,608,102
2017-05-31,6124,774,696,78
2017-05-31,6125,417,305,112
2017-05-31,6126,858,720,138
2017-05-31,6127,911,815,96
2017-05-31,6128,339,294,45
2017-05-31,6129,1120,956,164
2017-05-31,6130,742,635,107
2017-05-31,6131,1799,1602,197
2017-05-31,6132,1000,886,114
2017-05-31,6133,1114,955,159
2017-05-31,6134,841,698,143
2017-05-31,6136,4991,4562,429
2017-05-31,6137,1834,1589,245
2017-05-31,6138,835,727,108
2017-05-31,6139,821,742,79
2017-05-31,6140,2001,1753,248
2017-05-31,6141,1359,1109,250
2017-05-31,6142,2116,1597,519
2017-05-31,6143,2788,1995,793
2017-05-31,6145,1553,1034,519
2017-05-31,6146,1328,956,372
2017-05-31,6147,2064,1822,242
2017-05-31,6148,2409,2089,320
2017-05-31,6149,813,720,93
2017-05-31,6150,1346,1189,157
2017-05-31,6151,2230,1954,276
2017-05-31,6152,1964,1733,231
2017-05-31,6153,840,704,136
2017-05-31,6154,3406,3057,349
2017-05-31,6155,2784,2519,265
2017-05-31,6156,1505,1384,121
2017-05-31,6157,2350,1924,426
2017-05-31,6158,1627,1485,142
2017-05-31,6159,1696,1467,229
2017-05-31,6160,1404,1256,148
2017-05-31,6161,928,832,96
2017-05-31,6162,425,391,34
2017-05-31,6163,2513,2182,331
2017-05-31,6164,659,604,55
2017-05-31,6165,1910,1584,326
2017-05-31,6166,1505,1333,172
2017-05-31,6167,986,914,72
2017-05-31,6168,930,861,69
2017-05-31,6169,3054,2574,480
2017-05-31,6170,1692,1394,298
2017-05-31,6171,796,703,93
2017-05-31,6173,2519,2170,349
2017-05-31,6174,2068,1749,319
2017-05-31,6175,2119,1772,347
2017-05-31,6176,1804,1537,267
2017-05-31,6177,1781,1354,427
2017-05-31,6178,2207,1809,398
2017-05-31,6179,1946,1558,388
2017-05-31,6180,1566,1134,432
2017-05-31,6181,2617,2176,441
2017-05-31,6182,1121,876,245
2017-05-31,6183,1971,1636,335
2017-05-31,6184,5240,4491,749
2017-05-31,6185,447,413,34
2017-05-31,6186,1220,1092,128
2017-05-31,6187,2305,1886,419
2017-05-31,6188,1253,1112,141
2017-05-31,6189,396,369,27
2017-05-31,6190,2094,1873,221
2017-05-31,6191,974,699,275
2017-05-31,6192,894,819,75
2017-05-31,6193,2279,1865,414
2017-05-31,6194,1250,1070,180
2017-05-31,6195,1809,1549,260
2017-05-31,6196,2282,1843,439
2017-05-31,6197,943,839,104
2017-05-31,6198,643,529,114
2017-05-31,6199,2441,1940,501
2017-05-31,6200,1787,1486,301
2017-05-31,6201,1394,1232,162
2017-05-31,6202,2875,2448,427
2017-05-31,6203,1896,1394,502
2017-05-31,6204,2195,1741,454
2017-05-31,6205,1964,1627,337
2017-05-31,6206,2685,2266,419
2017-05-31,6207,1113,941,172
2017-05-31,6208,1367,1079,288
2017-05-31,6209,2762,2341,421
2017-05-31,6210,631,570,61
2017-05-31,6211,3076,2430,646
2017-05-31,6212,1651,1310,341
2017-05-31,6213,3036,2420,616
2017-05-31,6214,3853,3158,695
2017-05-31,6215,1919,1652,267
2017-05-31,6216,3517,2350,1167
2017-05-31,6217,1754,1499,255
2017-05-31,6218,1297,1058,239
2017-05-31,6219,1466,1299,167
2017-05-31,6220,2081,1790,291
2017-05-31,6221,4429,3753,676
2017-05-31,6222,1068,828,240
2017-05-31,6223,2361,1741,620
2017-05-31,6224,1583,1329,254
2017-05-31,6225,1325,1035,290
2017-05-31,6226,438,410,28
2017-05-31,6227,3016,2500,516
2017-05-31,6228,456,354,102
2017-05-31,6229,1368,1197,171
2017-05-31,6230,2048,1564,484
2017-05-31,6231,993,855,138
2017-05-31,6232,963,796,167
2017-05-31,6233,2340,1955,385
2017-05-31,6234,1818,1400,418
2017-05-31,6235,2458,2209,249
2017-05-31,6236,1391,1219,172
2017-05-31,6237,997,893,104
2017-05-31,6240,401,325,76
2017-05-31,6243,1626,1397,229
2017-05-31,6245,1156,1017,139
2017-05-31,6246,228,194,34
2017-05-31,6247,1169,927,242
2017-05-31,6248,3056,2483,573
2017-05-31,6249,1027,875,152
2017-05-31,6250,1464,1123,341
2017-05-31,6251,538,418,120
2017-05-31,6252,906,725,181
2017-05-31,6253,1066,952,114
2017-05-31,6254,1172,1043,129
2017-05-31,6255,1509,1333,176
2017-05-31,6257,688,593,95
2017-05-31,6258,1104,868,236
2017-05-31,6259,651,552,99
2017-05-31,6260,919,734,185
2017-05-31,6261,925,824,101
2017-05-31,6262,974,866,108
2017-05-31,6263,538,491,47
2017-05-31,6264,656,579,77
2017-05-31,6265,730,649,81
2017-05-31,6266,976,878,98
2017-05-31,6267,1050,962,88
2017-05-31,6268,994,898,96
2017-05-31,6269,99,99,0
2017-05-31,6270,718,620,98
2017-05-31,6271,1344,1150,194
2017-05-31,6272,18,15,3
2017-05-31,6273,613,553,60
2017-05-31,6274,1003,947,56
2017-05-31,6275,516,469,47
2017-05-31,6276,707,652,55
2017-05-31,6277,336,278,58
2017-05-31,6278,282,252,30
2017-05-31,6279,591,545,46
2017-05-31,6280,1136,1006,130
2017-05-31,6281,988,900,88
2017-05-31,6301,622,511,111
2017-05-31,6302,657,512,145
2017-05-31,6303,331,255,76
2017-05-31,6304,325,269,56
2017-05-31,6305,339,276,63
2017-05-31,6306,1541,1362,179
2017-05-31,6307,1570,1246,324
2017-05-31,6309,609,548,61
2017-05-31,6310,1496,1272,224
2017-05-31,6311,713,613,100
2017-05-31,6312,415,329,86
2017-05-31,6313,654,513,141
2017-05-31,6314,1278,1195,83
2017-05-31,6315,1140,916,224
2017-05-31,6316,1280,1029,251
2017-05-31,6321,1369,1085,284
2017-05-31,6322,291,254,37
2017-05-31,6323,314,286,28
2017-05-31,6324,401,350,51
2017-05-31,6327,610,537,73
2017-05-31,6328,556,488,68
2017-05-31,6329,841,763,78
2017-05-31,6330,529,468,61
2017-05-31,6331,432,368,64
2017-05-31,6332,564,515,49
2017-05-31,6333,282,231,51
2017-05-31,6335,660,605,55
2017-05-31,6336,520,435,85
2017-05-31,6338,574,511,63
2017-05-31,6339,182,152,30
2017-05-31,6340,608,533,75
2017-05-31,6341,496,431,65
2017-05-31,6343,448,408,40
2017-05-31,6344,1183,999,184
2017-05-31,6345,325,282,43
2017-05-31,6346,448,364,84
2017-05-31,6347,439,381,58
2017-05-31,6349,614,525,89
2017-05-31,6350,730,634,96
2017-05-31,6354,722,590,132
2017-05-31,6355,178,156,22
2017-05-31,6356,423,366,57
2017-05-31,6357,248,202,46
2017-05-31,6358,485,411,74
2017-05-31,6360,558,496,62
2017-05-31,6361,613,555,58
2017-05-31,6362,748,671,77
2017-05-31,6363,365,320,45
2017-05-31,6364,797,662,135
2017-05-31,6366,665,554,111
2017-05-31,6367,534,468,66
2017-05-31,6368,1114,923,191
2017-05-31,6369,448,357,91
2017-05-31,6370,610,543,67
2017-05-31,6371,1194,995,199
2017-05-31,6372,1127,874,253
2017-05-31,6373,502,440,62
2017-05-31,6374,449,395,54
2017-05-31,6375,1029,878,151
2017-05-31,6376,424,384,40
2017-05-31,6377,636,579,57
2017-05-31,6379,415,379,36
2017-05-31,6380,512,441,71
2017-05-31,6381,1212,1082,130
2017-05-31,6383,437,362,75
2017-05-31,6384,405,358,47
2017-05-31,6385,1063,975,88
2017-05-31,6386,1031,925,106
2017-05-31,6387,1343,1200,143
2017-05-31,6388,369,320,49
2017-05-31,6389,997,881,116
2017-05-31,6391,1048,950,98
2017-05-31,6393,976,847,129
2017-05-31,6394,1244,1087,157
2017-05-31,6395,1576,1036,540
2017-05-31,6396,1450,1113,337
2017-05-31,6397,883,721,162
2017-05-31,6398,616,572,44
2017-05-31,6401,1321,1114,207
2017-05-31,6402,823,678,145
2017-05-31,6403,625,503,122
2017-05-31,6404,336,279,57
2017-05-31,6405,1073,835,238
2017-05-31,6406,3482,1932,1550
2017-05-31,6407,647,543,104
2017-05-31,6408,779,718,61
2017-05-31,6409,404,338,66
2017-05-31,6410,521,454,67
2017-05-31,6411,2841,2401,440
2017-05-31,6412,403,336,67
2017-05-31,6413,1178,1009,169
2017-05-31,6414,418,355,63
2017-05-31,6415,390,340,50
2017-05-31,6416,498,454,44
2017-05-31,6417,337,281,56
2017-05-31,6418,2224,1942,282
2017-05-31,6419,281,207,74
2017-05-31,6420,448,366,82
2017-05-31,6421,861,749,112
2017-05-31,6422,245,196,49
2017-05-31,6423,339,295,44
2017-05-31,6424,75,58,17
2017-05-31,6425,770,637,133
2017-05-31,6426,1036,971,65
2017-05-31,6427,848,684,164
2017-05-31,6428,414,279,135
2017-05-31,6429,578,458,120
2017-05-31,6432,1813,1510,303
2017-05-31,6433,645,582,63
2017-05-31,6434,1321,1135,186
2017-05-31,6435,945,765,180
2017-05-31,6436,560,458,102
2017-05-31,6501,1364,338,1026
2017-05-31,6502,392,121,271
2017-05-31,6503,1062,881,181
2017-05-31,6504,256,95,161
2017-05-31,6700,397,343,54
2017-05-31,6701,278,176,102
2017-05-31,6702,252,212,40
2017-05-31,6703,973,507,466
2017-05-31,6704,359,301,58
2017-05-31,6705,305,288,17
2017-05-31,6706,536,496,40
2017-05-31,6707,410,373,37
2017-05-31,6708,937,756,181
2017-05-31,6709,510,465,45
2017-05-31,6710,258,226,32
2017-05-31,6711,361,305,56
2017-05-31,6712,186,116,70
2017-05-31,6713,229,175,54
2017-05-31,6714,128,82,46
2017-05-31,6715,357,262,95
2017-05-31,6716,180,154,26
2017-05-31,6717,246,201,45
2017-05-31,6718,536,455,81
2017-05-31,6719,290,260,30
2017-05-31,6720,422,363,59
2017-05-31,6721,262,232,30
2017-05-31,6722,319,285,34
2017-05-31,6723,311,258,53
2017-05-31,6724,1548,922,626
2017-05-31,6725,530,465,65
2017-05-31,6726,65,49,16
2017-05-31,6727,892,752,140
2017-05-31,6728,379,282,97
2017-05-31,6729,2870,2532,338
2017-05-31,6730,154,120,34
2017-05-31,6731,394,245,149
2017-05-31,6732,582,480,102
2017-05-31,6733,547,503,44
2017-05-31,6734,723,639,84
2017-05-31,6735,270,238,32
2017-05-31,6736,123,95,28
2017-05-31,6737,376,337,39
2017-05-31,6738,679,620,59
2017-05-31,6739,165,145,20
2017-05-31,6741,565,408,157
2017-05-31,6742,610,458,152
2017-05-31,6743,851,660,191
2017-05-31,6744,404,351,53
2017-05-31,6745,694,569,125
2017-05-31,6746,268,207,61
2017-05-31,6747,818,697,121
2017-05-31,6748,1,1,0
2017-05-31,6749,1066,744,322
2017-05-31,6750,1346,1141,205
2017-05-31,6752,537,468,69
2017-05-31,6753,327,283,44
2017-05-31,6754,197,186,11
2017-05-31,6901,1455,1067,388
2017-05-31,6902,1546,1350,196
2017-05-31,6903,1048,819,229
2017-05-31,6904,743,677,66
2017-05-31,6905,757,693,64
2017-05-31,6906,1810,1637,173
2017-05-31,6907,1580,1353,227
2017-05-31,6908,842,753,89
2017-05-31,6910,2032,1782,250
2017-05-31,6912,2413,2186,227
2017-05-31,6913,757,659,98
2017-05-31,6915,958,795,163
2017-05-31,6916,547,494,53
2017-05-31,6917,210,192,18
2017-05-31,6918,433,380,53
2017-05-31,6919,354,330,24
2017-05-31,6921,1255,1113,142
2017-05-31,6923,776,703,73
2017-05-31,6924,389,350,39
2017-05-31,6925,312,283,29
2017-05-31,6926,1005,854,151
2017-05-31,6927,1112,896,216
2017-05-31,6928,1068,889,179
2017-05-31,6929,693,641,52
2017-05-31,6930,341,278,63
2017-05-31,7002,172,144,28
2017-05-31,7003,159,151,8
2017-05-31,7004,179,126,53
2017-05-31,7005,154,130,24
2017-05-31,7006,258,228,30
2017-05-31,7007,454,163,291
2017-05-31,7008,278,245,33
2017-05-31,7009,58,45,13
2017-05-31,7010,224,184,40
2017-05-31,7011,549,499,50
2017-05-31,7012,797,657,140
2017-05-31,7013,242,204,38
2017-05-31,7014,732,573,159
2017-05-31,7015,322,149,173
2017-05-31,7016,71,53,18
2017-05-31,7017,460,392,68
2017-05-31,7018,263,215,48
2017-05-31,7019,829,723,106
2017-05-31,7020,311,276,35
2017-05-31,7021,925,802,123
2017-05-31,7022,201,139,62
2017-05-31,7023,85,66,19
2017-05-31,7024,518,449,69
2017-05-31,7025,468,404,64
2017-05-31,7026,1245,1152,93
2017-05-31,7027,523,435,88
2017-05-31,7028,1037,948,89
2017-05-31,7029,804,725,79
2017-05-31,7030,571,489,82
2017-05-31,7031,797,640,157
2017-05-31,7032,1641,1412,229
2017-05-31,7033,1419,1132,287
2017-05-31,7034,1551,1159,392
2017-05-31,7035,507,476,31
2017-05-31,7036,620,536,84
2017-05-31,7037,1113,944,169
2017-05-31,7038,1488,1186,302
2017-05-31,7039,620,578,42
2017-05-31,7040,944,795,149
2017-05-31,7041,395,350,45
2017-05-31,7042,609,536,73
2017-05-31,7043,453,407,46
2017-05-31,7044,89,77,12
2017-05-31,7045,1151,782,369
2017-05-31,7046,331,276,55
2017-05-31,7047,360,296,64
2017-05-31,7048,333,221,112
2017-05-31,7049,1376,1060,316
2017-05-31,7050,642,464,178
2017-05-31,7051,145,120,25
2017-05-31,7052,591,524,67
2017-05-31,7053,561,415,146
2017-05-31,7054,705,482,223
2017-05-31,7055,663,520,143
2017-05-31,7056,215,183,32
2017-05-31,7057,542,455,87
2017-05-31,7058,494,400,94
2017-05-31,7059,173,151,22
2017-05-31,7060,298,249,49
2017-05-31,7061,449,407,42
2017-05-31,7062,151,121,30
2017-05-31,7063,604,522,82
2017-05-31,7064,271,224,47
2017-05-31,7065,594,544,50
2017-05-31,7066,1273,813,460
2017-05-31,7067,766,618,148
2017-05-31,7068,839,577,262
2017-05-31,7069,869,765,104
2017-05-31,7070,450,403,47
2017-05-31,7071,974,809,165
2017-05-31,7072,824,690,134
2017-05-31,7073,749,614,135
2017-05-31,7074,687,609,78
2017-05-31,7075,49,45,4
2017-05-31,7076,940,817,123
2017-05-31,7077,446,289,157
2017-05-31,7078,466,411,55
2017-05-31,7079,273,225,48
2017-05-31,7080,1419,1253,166
2017-05-31,7081,473,397,76
2017-05-31,10002,1965,1708,257
