date,start_station_code,total_count,member_count,non_member_count
2020-08-31,4000,1212,1037,175
2020-08-31,4001,305,215,90
2020-08-31,4002,312,194,118
2020-08-31,5002,63,38,25
2020-08-31,5003,49,20,29
2020-08-31,5004,89,44,45
2020-08-31,5005,69,44,25
2020-08-31,5006,83,66,17
2020-08-31,5007,257,169,88
2020-08-31,6001,1033,846,187
2020-08-31,6002,822,649,173
2020-08-31,6003,1406,1094,312
2020-08-31,6004,631,474,157
2020-08-31,6005,679,517,162
2020-08-31,6006,893,722,171
2020-08-31,6007,883,701,182
2020-08-31,6008,428,327,101
2020-08-31,6009,1987,1576,411
2020-08-31,6011,814,697,117
2020-08-31,6012,871,683,188
2020-08-31,6013,1127,872,255
2020-08-31,6014,1858,1579,279
2020-08-31,6015,2092,1655,437
2020-08-31,6016,283,167,116
2020-08-31,6017,1748,1586,162
2020-08-31,6018,1138,995,143
2020-08-31,6019,2120,1796,324
2020-08-31,6020,1249,931,318
2020-08-31,6021,1586,1344,242
2020-08-31,6022,1368,1144,224
2020-08-31,6023,2909,1695,1214
2020-08-31,6024,267,195,72
2020-08-31,6025,824,473,351
2020-08-31,6026,3724,1693,2031
2020-08-31,6027,1610,1265,345
2020-08-31,6029,535,444,91
2020-08-31,6031,448,286,162
2020-08-31,6032,369,215,154
2020-08-31,6033,428,345,83
2020-08-31,6035,471,329,142
2020-08-31,6036,3686,1823,1863
2020-08-31,6037,1087,702,385
2020-08-31,6038,1060,738,322
2020-08-31,6039,1391,1057,334
2020-08-31,6040,848,592,256
2020-08-31,6041,638,493,145
2020-08-31,6042,580,449,131
2020-08-31,6043,1129,873,256
2020-08-31,6044,1908,1703,205
2020-08-31,6046,768,612,156
2020-08-31,6047,689,544,145
2020-08-31,6048,873,695,178
2020-08-31,6049,867,723,144
2020-08-31,6050,478,398,80
2020-08-31,6051,551,464,87
2020-08-31,6052,1584,952,632
2020-08-31,6053,1897,1479,418
2020-08-31,6057,225,178,47
2020-08-31,6058,761,614,147
2020-08-31,6059,528,418,110
2020-08-31,6060,851,569,282
2020-08-31,6061,1284,1031,253
2020-08-31,6062,1484,1045,439
2020-08-31,6063,1291,1046,245
2020-08-31,6064,2596,1978,618
2020-08-31,6065,1502,1158,344
2020-08-31,6066,563,436,127
2020-08-31,6067,179,93,86
2020-08-31,6068,221,147,74
2020-08-31,6070,1351,1081,270
2020-08-31,6072,596,500,96
2020-08-31,6073,941,768,173
2020-08-31,6075,1287,1037,250
2020-08-31,6076,660,528,132
2020-08-31,6078,856,670,186
2020-08-31,6079,1084,840,244
2020-08-31,6080,2535,2081,454
2020-08-31,6081,1722,1338,384
2020-08-31,6082,556,459,97
2020-08-31,6083,1460,1190,270
2020-08-31,6084,691,432,259
2020-08-31,6085,1084,885,199
2020-08-31,6086,1956,1463,493
2020-08-31,6087,1508,1241,267
2020-08-31,6088,1040,829,211
2020-08-31,6089,735,630,105
2020-08-31,6090,487,377,110
2020-08-31,6091,1632,1338,294
2020-08-31,6092,1168,958,210
2020-08-31,6093,728,549,179
2020-08-31,6094,464,401,63
2020-08-31,6095,2644,2163,481
2020-08-31,6096,638,534,104
2020-08-31,6097,14,10,4
2020-08-31,6098,1320,982,338
2020-08-31,6099,1626,1273,353
2020-08-31,6100,2126,1741,385
2020-08-31,6101,595,477,118
2020-08-31,6102,829,690,139
2020-08-31,6103,687,573,114
2020-08-31,6104,1432,1222,210
2020-08-31,6105,585,512,73
2020-08-31,6106,581,467,114
2020-08-31,6107,3308,2721,587
2020-08-31,6108,957,812,145
2020-08-31,6109,764,405,359
2020-08-31,6110,1050,904,146
2020-08-31,6111,960,812,148
2020-08-31,6112,2493,2176,317
2020-08-31,6113,585,464,121
2020-08-31,6114,2810,2422,388
2020-08-31,6116,1096,907,189
2020-08-31,6117,615,483,132
2020-08-31,6118,1689,1477,212
2020-08-31,6119,2043,1816,227
2020-08-31,6120,1100,946,154
2020-08-31,6121,563,475,88
2020-08-31,6122,401,333,68
2020-08-31,6123,699,600,99
2020-08-31,6124,924,783,141
2020-08-31,6125,692,529,163
2020-08-31,6126,813,702,111
2020-08-31,6127,1019,848,171
2020-08-31,6128,526,456,70
2020-08-31,6129,1431,1237,194
2020-08-31,6130,743,634,109
2020-08-31,6131,2037,1727,310
2020-08-31,6132,895,760,135
2020-08-31,6133,1169,938,231
2020-08-31,6134,1048,908,140
2020-08-31,6136,3478,3042,436
2020-08-31,6137,2360,2054,306
2020-08-31,6138,1354,1190,164
2020-08-31,6139,883,751,132
2020-08-31,6140,2337,2005,332
2020-08-31,6141,1775,1468,307
2020-08-31,6142,2628,2083,545
2020-08-31,6143,2349,1790,559
2020-08-31,6145,1870,1442,428
2020-08-31,6146,2119,1739,380
2020-08-31,6147,2271,1969,302
2020-08-31,6148,2214,1895,319
2020-08-31,6149,711,556,155
2020-08-31,6150,1530,1325,205
2020-08-31,6151,2117,1817,300
2020-08-31,6152,1972,1633,339
2020-08-31,6153,652,519,133
2020-08-31,6154,3921,3396,525
2020-08-31,6155,2466,2135,331
2020-08-31,6156,1467,1260,207
2020-08-31,6157,2835,2288,547
2020-08-31,6158,1307,1103,204
2020-08-31,6159,1464,1149,315
2020-08-31,6160,893,776,117
2020-08-31,6161,1244,1047,197
2020-08-31,6162,995,818,177
2020-08-31,6163,2414,1973,441
2020-08-31,6164,1487,1308,179
2020-08-31,6165,3703,3088,615
2020-08-31,6166,1244,1035,209
2020-08-31,6167,1053,952,101
2020-08-31,6169,3229,2604,625
2020-08-31,6170,1952,1642,310
2020-08-31,6171,797,697,100
2020-08-31,6173,1683,1401,282
2020-08-31,6174,2035,1648,387
2020-08-31,6175,1751,1467,284
2020-08-31,6176,2052,1637,415
2020-08-31,6177,1770,1485,285
2020-08-31,6178,1888,1515,373
2020-08-31,6179,1876,1514,362
2020-08-31,6180,459,339,120
2020-08-31,6181,2111,1708,403
2020-08-31,6182,1290,1036,254
2020-08-31,6183,1532,1243,289
2020-08-31,6184,4394,3806,588
2020-08-31,6185,461,381,80
2020-08-31,6186,1094,946,148
2020-08-31,6187,2144,1748,396
2020-08-31,6188,1086,906,180
2020-08-31,6189,433,346,87
2020-08-31,6190,1615,1430,185
2020-08-31,6191,644,498,146
2020-08-31,6192,256,228,28
2020-08-31,6193,2130,1725,405
2020-08-31,6194,3874,3204,670
2020-08-31,6195,1092,879,213
2020-08-31,6196,1824,1497,327
2020-08-31,6197,1242,1082,160
2020-08-31,6198,508,430,78
2020-08-31,6199,1287,1067,220
2020-08-31,6200,1660,1388,272
2020-08-31,6201,1321,1195,126
2020-08-31,6202,2034,1738,296
2020-08-31,6203,549,411,138
2020-08-31,6204,1922,1567,355
2020-08-31,6205,1952,1589,363
2020-08-31,6206,2158,1778,380
2020-08-31,6207,1048,876,172
2020-08-31,6208,983,759,224
2020-08-31,6209,1821,1425,396
2020-08-31,6210,593,476,117
2020-08-31,6211,2355,1787,568
2020-08-31,6212,1900,1499,401
2020-08-31,6213,2155,1766,389
2020-08-31,6214,2502,2053,449
2020-08-31,6215,1074,811,263
2020-08-31,6216,3773,2859,914
2020-08-31,6217,1577,1247,330
2020-08-31,6218,1367,1093,274
2020-08-31,6219,1069,919,150
2020-08-31,6220,1641,1343,298
2020-08-31,6221,3408,2804,604
2020-08-31,6222,1514,1194,320
2020-08-31,6223,2690,1987,703
2020-08-31,6224,1565,1268,297
2020-08-31,6225,1100,862,238
2020-08-31,6226,570,483,87
2020-08-31,6227,2019,1606,413
2020-08-31,6228,458,347,111
2020-08-31,6229,1483,1235,248
2020-08-31,6230,1685,1284,401
2020-08-31,6231,1790,1402,388
2020-08-31,6232,772,617,155
2020-08-31,6233,1364,1068,296
2020-08-31,6234,1511,1131,380
2020-08-31,6235,787,667,120
2020-08-31,6237,1213,1035,178
2020-08-31,6240,702,593,109
2020-08-31,6241,1042,851,191
2020-08-31,6243,1592,1246,346
2020-08-31,6245,811,636,175
2020-08-31,6246,996,755,241
2020-08-31,6247,2310,1872,438
2020-08-31,6248,2426,1890,536
2020-08-31,6249,1437,1168,269
2020-08-31,6250,2020,1607,413
2020-08-31,6251,742,602,140
2020-08-31,6252,994,805,189
2020-08-31,6253,928,767,161
2020-08-31,6254,1553,1323,230
2020-08-31,6255,1758,1519,239
2020-08-31,6257,754,608,146
2020-08-31,6258,2163,1831,332
2020-08-31,6259,851,703,148
2020-08-31,6260,716,572,144
2020-08-31,6261,993,865,128
2020-08-31,6262,1275,1051,224
2020-08-31,6263,410,330,80
2020-08-31,6264,918,753,165
2020-08-31,6265,1123,972,151
2020-08-31,6266,641,541,100
2020-08-31,6267,952,770,182
2020-08-31,6268,1275,1045,230
2020-08-31,6269,1058,999,59
2020-08-31,6270,761,664,97
2020-08-31,6271,40,19,21
2020-08-31,6272,701,596,105
2020-08-31,6273,759,646,113
2020-08-31,6274,955,798,157
2020-08-31,6275,698,562,136
2020-08-31,6276,1143,993,150
2020-08-31,6277,1082,885,197
2020-08-31,6278,459,402,57
2020-08-31,6279,529,473,56
2020-08-31,6280,2692,2138,554
2020-08-31,6281,612,539,73
2020-08-31,6301,614,506,108
2020-08-31,6302,410,325,85
2020-08-31,6303,416,309,107
2020-08-31,6304,247,185,62
2020-08-31,6305,355,260,95
2020-08-31,6306,769,588,181
2020-08-31,6307,1213,1002,211
2020-08-31,6309,812,691,121
2020-08-31,6310,1041,816,225
2020-08-31,6311,890,763,127
2020-08-31,6312,967,726,241
2020-08-31,6313,320,259,61
2020-08-31,6314,1038,886,152
2020-08-31,6315,1119,867,252
2020-08-31,6316,1577,1151,426
2020-08-31,6321,2236,1701,535
2020-08-31,6322,667,536,131
2020-08-31,6323,279,226,53
2020-08-31,6324,438,358,80
2020-08-31,6327,756,640,116
2020-08-31,6328,917,754,163
2020-08-31,6329,707,578,129
2020-08-31,6330,678,569,109
2020-08-31,6331,570,492,78
2020-08-31,6332,682,528,154
2020-08-31,6333,598,493,105
2020-08-31,6334,891,727,164
2020-08-31,6335,824,715,109
2020-08-31,6336,737,639,98
2020-08-31,6338,645,496,149
2020-08-31,6339,475,365,110
2020-08-31,6340,811,693,118
2020-08-31,6341,827,662,165
2020-08-31,6343,959,826,133
2020-08-31,6344,778,604,174
2020-08-31,6345,392,334,58
2020-08-31,6346,350,283,67
2020-08-31,6347,599,486,113
2020-08-31,6349,917,771,146
2020-08-31,6350,390,316,74
2020-08-31,6354,891,650,241
2020-08-31,6355,752,635,117
2020-08-31,6356,569,450,119
2020-08-31,6357,628,532,96
2020-08-31,6358,643,533,110
2020-08-31,6359,2121,1510,611
2020-08-31,6360,875,736,139
2020-08-31,6361,1071,890,181
2020-08-31,6362,833,730,103
2020-08-31,6363,464,355,109
2020-08-31,6364,909,732,177
2020-08-31,6366,856,661,195
2020-08-31,6367,561,473,88
2020-08-31,6368,1685,1397,288
2020-08-31,6369,628,451,177
2020-08-31,6370,873,708,165
2020-08-31,6371,1515,1224,291
2020-08-31,6372,2336,1945,391
2020-08-31,6373,952,835,117
2020-08-31,6374,818,697,121
2020-08-31,6375,994,765,229
2020-08-31,6376,644,510,134
2020-08-31,6377,664,529,135
2020-08-31,6379,830,710,120
2020-08-31,6380,517,439,78
2020-08-31,6381,1329,1127,202
2020-08-31,6383,720,595,125
2020-08-31,6384,890,722,168
2020-08-31,6385,1275,1039,236
2020-08-31,6386,916,769,147
2020-08-31,6387,1235,1001,234
2020-08-31,6388,638,539,99
2020-08-31,6389,1079,900,179
2020-08-31,6391,1709,1472,237
2020-08-31,6393,1573,1336,237
2020-08-31,6394,1814,1543,271
2020-08-31,6395,874,720,154
2020-08-31,6396,1101,924,177
2020-08-31,6397,1064,919,145
2020-08-31,6398,607,501,106
2020-08-31,6401,833,645,188
2020-08-31,6402,1509,1098,411
2020-08-31,6403,393,290,103
2020-08-31,6404,505,429,76
2020-08-31,6405,1206,872,334
2020-08-31,6406,3275,1968,1307
2020-08-31,6407,707,529,178
2020-08-31,6408,562,451,111
2020-08-31,6409,304,234,70
2020-08-31,6410,610,490,120
2020-08-31,6411,1717,1243,474
2020-08-31,6412,482,402,80
2020-08-31,6413,521,396,125
2020-08-31,6414,409,337,72
2020-08-31,6415,569,431,138
2020-08-31,6416,495,371,124
2020-08-31,6417,468,417,51
2020-08-31,6418,307,202,105
2020-08-31,6419,427,280,147
2020-08-31,6420,287,217,70
2020-08-31,6421,683,587,96
2020-08-31,6422,375,291,84
2020-08-31,6423,579,478,101
2020-08-31,6425,911,688,223
2020-08-31,6426,1119,971,148
2020-08-31,6427,1253,964,289
2020-08-31,6428,328,230,98
2020-08-31,6429,707,490,217
2020-08-31,6432,1696,1309,387
2020-08-31,6433,542,472,70
2020-08-31,6434,1262,998,264
2020-08-31,6435,548,389,159
2020-08-31,6436,451,364,87
2020-08-31,6437,1321,946,375
2020-08-31,6501,2146,1066,1080
2020-08-31,6502,304,180,124
2020-08-31,6503,1115,909,206
2020-08-31,6504,558,294,264
2020-08-31,6700,574,501,73
2020-08-31,6701,195,155,40
2020-08-31,6702,603,495,108
2020-08-31,6703,1591,1110,481
2020-08-31,6704,821,726,95
2020-08-31,6705,502,454,48
2020-08-31,6706,525,437,88
2020-08-31,6707,379,303,76
2020-08-31,6708,1085,879,206
2020-08-31,6709,656,502,154
2020-08-31,6710,384,308,76
2020-08-31,6711,238,187,51
2020-08-31,6712,587,364,223
2020-08-31,6713,518,419,99
2020-08-31,6714,454,214,240
2020-08-31,6715,663,469,194
2020-08-31,6716,293,246,47
2020-08-31,6717,368,302,66
2020-08-31,6718,674,518,156
2020-08-31,6719,480,333,147
2020-08-31,6720,780,700,80
2020-08-31,6721,525,442,83
2020-08-31,6722,338,272,66
2020-08-31,6723,699,609,90
2020-08-31,6724,2272,1443,829
2020-08-31,6725,670,541,129
2020-08-31,6726,279,198,81
2020-08-31,6727,1115,852,263
2020-08-31,6728,436,317,119
2020-08-31,6729,2540,2195,345
2020-08-31,6730,423,338,85
2020-08-31,6731,541,404,137
2020-08-31,6732,630,497,133
2020-08-31,6733,988,823,165
2020-08-31,6734,838,671,167
2020-08-31,6735,368,302,66
2020-08-31,6736,490,360,130
2020-08-31,6737,682,533,149
2020-08-31,6738,500,416,84
2020-08-31,6739,183,139,44
2020-08-31,6741,228,178,50
2020-08-31,6742,839,530,309
2020-08-31,6743,505,408,97
2020-08-31,6744,638,511,127
2020-08-31,6745,364,292,72
2020-08-31,6746,486,381,105
2020-08-31,6747,652,520,132
2020-08-31,6748,1944,1519,425
2020-08-31,6749,722,500,222
2020-08-31,6750,964,856,108
2020-08-31,6752,177,134,43
2020-08-31,6753,594,508,86
2020-08-31,6754,378,288,90
2020-08-31,6901,1014,731,283
2020-08-31,6902,1474,1312,162
2020-08-31,6903,1441,1142,299
2020-08-31,6904,778,637,141
2020-08-31,6905,703,563,140
2020-08-31,6906,1940,1725,215
2020-08-31,6907,2045,1613,432
2020-08-31,6908,1114,918,196
2020-08-31,6910,2359,1973,386
2020-08-31,6912,2226,1883,343
2020-08-31,6913,1151,933,218
2020-08-31,6915,1709,1488,221
2020-08-31,6916,504,388,116
2020-08-31,6917,561,479,82
2020-08-31,6918,835,683,152
2020-08-31,6919,593,506,87
2020-08-31,6921,850,666,184
2020-08-31,6923,791,666,125
2020-08-31,6924,740,635,105
2020-08-31,6925,763,630,133
2020-08-31,6926,1064,841,223
2020-08-31,6927,978,676,302
2020-08-31,6928,873,698,175
2020-08-31,6929,737,609,128
2020-08-31,6930,299,209,90
2020-08-31,7001,1024,795,229
2020-08-31,7002,235,179,56
2020-08-31,7003,2443,1891,552
2020-08-31,7004,393,306,87
2020-08-31,7005,244,197,47
2020-08-31,7006,364,313,51
2020-08-31,7007,281,159,122
2020-08-31,7008,542,489,53
2020-08-31,7009,1254,1008,246
2020-08-31,7010,857,601,256
2020-08-31,7011,1113,969,144
2020-08-31,7012,394,229,165
2020-08-31,7013,542,418,124
2020-08-31,7014,1389,1047,342
2020-08-31,7015,813,467,346
2020-08-31,7016,355,274,81
2020-08-31,7017,719,616,103
2020-08-31,7018,364,293,71
2020-08-31,7019,470,423,47
2020-08-31,7020,524,441,83
2020-08-31,7021,886,727,159
2020-08-31,7022,1020,865,155
2020-08-31,7023,237,212,25
2020-08-31,7024,1135,961,174
2020-08-31,7025,653,502,151
2020-08-31,7026,938,811,127
2020-08-31,7027,895,760,135
2020-08-31,7028,1093,988,105
2020-08-31,7029,1457,1338,119
2020-08-31,7030,924,794,130
2020-08-31,7031,1106,894,212
2020-08-31,7032,1799,1578,221
2020-08-31,7033,1021,779,242
2020-08-31,7034,829,475,354
2020-08-31,7035,876,765,111
2020-08-31,7036,1228,1031,197
2020-08-31,7037,822,609,213
2020-08-31,7038,1409,1127,282
2020-08-31,7039,809,679,130
2020-08-31,7040,328,256,72
2020-08-31,7041,635,467,168
2020-08-31,7042,571,460,111
2020-08-31,7043,573,501,72
2020-08-31,7044,368,343,25
2020-08-31,7045,1338,1056,282
2020-08-31,7046,1279,1040,239
2020-08-31,7047,1161,932,229
2020-08-31,7048,535,336,199
2020-08-31,7049,1243,1050,193
2020-08-31,7050,490,410,80
2020-08-31,7051,350,296,54
2020-08-31,7052,540,407,133
2020-08-31,7053,982,786,196
2020-08-31,7054,1472,938,534
2020-08-31,7055,723,609,114
2020-08-31,7056,472,406,66
2020-08-31,7057,985,782,203
2020-08-31,7058,925,711,214
2020-08-31,7059,660,565,95
2020-08-31,7060,756,619,137
2020-08-31,7061,542,474,68
2020-08-31,7062,378,286,92
2020-08-31,7063,678,574,104
2020-08-31,7064,458,401,57
2020-08-31,7065,1008,825,183
2020-08-31,7066,848,583,265
2020-08-31,7067,656,479,177
2020-08-31,7068,1604,1136,468
2020-08-31,7069,996,761,235
2020-08-31,7070,720,567,153
2020-08-31,7071,1271,1071,200
2020-08-31,7072,1002,818,184
2020-08-31,7073,1269,1074,195
2020-08-31,7074,706,626,80
2020-08-31,7075,163,149,14
2020-08-31,7076,1656,1373,283
2020-08-31,7077,661,545,116
2020-08-31,7078,494,417,77
2020-08-31,7079,395,314,81
2020-08-31,7080,964,752,212
2020-08-31,7081,298,234,64
2020-08-31,7083,718,618,100
2020-08-31,7084,1437,1050,387
2020-08-31,7085,22,7,15
2020-08-31,7086,42,37,5
2020-08-31,7087,2,0,2
2020-08-31,7088,18,12,6
2020-08-31,7089,23,13,10
2020-08-31,7090,459,361,98
2020-08-31,7091,256,160,96
2020-08-31,7092,204,149,55
2020-08-31,7093,143,101,42
2020-08-31,7094,168,92,76
2020-08-31,7095,264,202,62
2020-08-31,7096,694,536,158
2020-08-31,7097,258,202,56
2020-08-31,7098,115,90,25
2020-08-31,7099,298,227,71
2020-08-31,7100,243,192,51
2020-08-31,7101,163,129,34
2020-08-31,7102,253,166,87
2020-08-31,7103,882,486,396
2020-08-31,7104,135,78,57
2020-08-31,7105,366,179,187
2020-08-31,7106,108,61,47
2020-08-31,7107,170,92,78
2020-08-31,7108,500,285,215
2020-08-31,7109,218,147,71
2020-08-31,7110,406,229,177
2020-08-31,7111,131,67,64
2020-08-31,7112,334,196,138
2020-08-31,7113,766,699,67
2020-08-31,7114,1747,1429,318
2020-08-31,7115,328,251,77
2020-08-31,7116,287,200,87
2020-08-31,7117,185,144,41
2020-08-31,7118,22,16,6
2020-08-31,7119,425,311,114
2020-08-31,7120,974,840,134
2020-08-31,7121,190,131,59
2020-08-31,7122,89,67,22
2020-08-31,7123,141,91,50
2020-08-31,7124,417,352,65
2020-08-31,7125,1250,896,354
2020-08-31,7126,285,223,62
2020-08-31,7127,1164,937,227
2020-08-31,7128,302,202,100
2020-08-31,7129,204,156,48
2020-08-31,7130,198,145,53
2020-08-31,7131,112,77,35
2020-08-31,7133,158,99,59
2020-08-31,7135,93,42,51
2020-08-31,7136,76,58,18
2020-08-31,7137,344,265,79
2020-08-31,7138,240,178,62
2020-08-31,7139,241,181,60
2020-08-31,7140,400,342,58
2020-08-31,7141,807,664,143
2020-08-31,7142,353,219,134
2020-08-31,7143,659,425,234
2020-08-31,7144,1260,1004,256
2020-08-31,7145,243,179,64
2020-08-31,7146,321,271,50
2020-08-31,7147,745,619,126
2020-08-31,7148,460,327,133
2020-08-31,7149,642,518,124
2020-08-31,7150,101,50,51
2020-08-31,7151,192,132,60
2020-08-31,7152,105,63,42
2020-08-31,7153,201,140,61
2020-08-31,8056,27,24,3
2020-08-31,8080,73,30,43
2020-08-31,8081,81,62,19
2020-08-31,10002,1583,1230,353
